ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2023-02-13T10:44:59Z,dmurat125,ios,239359,TR,176.40.247.233,unknown,Rich Flex,Drake,Her Loss,spotify:track:1bDbXMyjaUIooNwFE9wn0N,,,,trackdone,trackdone,false,false,false,1676284860,false
2023-02-13T10:47:35Z,dmurat125,ios,155446,TR,176.40.247.233,unknown,Farklı Yol,Farazi,Ölmek İçin Doğanlar,spotify:track:09l6KXWKqFJxOq9mKC4Sl4,,,,trackdone,trackdone,false,false,false,1676285100,false
2023-02-13T12:12:50Z,dmurat125,ios,103064,TR,176.54.54.219,unknown,Major Distribution,Drake,Her Loss,spotify:track:46s57QULU02Voy0Kup6UEb,,,,trackdone,endplay,false,true,false,1676285256,false
2023-02-13T12:17:28Z,dmurat125,ios,249596,TR,176.54.54.219,unknown,Hayrola,Heja,Hayrola,spotify:track:1GPEOAgBH7e0k55NOEsVJv,,,,clickrow,trackdone,false,false,false,1676290370,false
2023-02-13T12:22:14Z,dmurat125,ios,178532,TR,176.54.54.219,unknown,TOTEM,Motive,TOTEM,spotify:track:4XVuzZAc7SCoM6R7L0WGLh,,,,trackdone,trackdone,false,false,false,1676290649,false
2023-02-13T12:26:13Z,dmurat125,ios,239359,TR,176.54.54.219,unknown,Rich Flex,Drake,Her Loss,spotify:track:1bDbXMyjaUIooNwFE9wn0N,,,,trackdone,trackdone,false,false,false,1676290934,false
2023-02-13T12:28:49Z,dmurat125,ios,155446,TR,176.54.54.219,unknown,Farklı Yol,Farazi,Ölmek İçin Doğanlar,spotify:track:09l6KXWKqFJxOq9mKC4Sl4,,,,trackdone,trackdone,false,false,false,1676291174,false
2023-02-13T12:31:40Z,dmurat125,ios,170501,TR,176.54.54.219,unknown,Major Distribution,Drake,Her Loss,spotify:track:46s57QULU02Voy0Kup6UEb,,,,trackdone,trackdone,false,false,false,1676291330,false
2023-02-13T12:35:26Z,dmurat125,ios,225439,TR,176.54.54.219,unknown,Broke Boys,Drake,Her Loss,spotify:track:45pUWUeEWGoSdH6UF162G8,,,,trackdone,trackdone,false,false,false,1676291501,false
2023-02-13T12:40:01Z,dmurat125,ios,250760,TR,176.54.54.219,unknown,Mockingbird,Eminem,Encore,spotify:track:561jH07mF1jHuk7KlaeF0s,,,,trackdone,trackdone,false,false,false,1676291727,false
2023-02-13T12:42:12Z,dmurat125,ios,119012,TR,176.54.54.219,unknown,KHRBR,Ati242,KHRBR,spotify:track:5GKPjeEbJOiV28JLtCe5hN,,,,trackdone,endplay,false,true,false,1676292001,false
2023-02-13T14:52:12Z,dmurat125,ios,119583,TR,195.142.71.191,unknown,MAFIA,Travis Scott,ESCAPE PLAN / MAFIA,spotify:track:08F16baYbciTva9P4BvpiI,,,,clickrow,logout,false,false,false,1676292133,false
2023-02-14T09:54:10Z,dmurat125,ios,249596,TR,195.142.71.191,unknown,Hayrola,Heja,Hayrola,spotify:track:1GPEOAgBH7e0k55NOEsVJv,,,,clickrow,trackdone,false,false,false,1676367915,false
2023-02-14T09:57:08Z,dmurat125,ios,178532,TR,195.142.71.191,unknown,TOTEM,Motive,TOTEM,spotify:track:4XVuzZAc7SCoM6R7L0WGLh,,,,trackdone,trackdone,false,false,false,1676368450,false
2023-02-14T09:57:52Z,dmurat125,ios,42956,TR,195.142.71.191,unknown,Rich Flex,Drake,Her Loss,spotify:track:1bDbXMyjaUIooNwFE9wn0N,,,,trackdone,unexpected-exit-while-paused,false,false,false,1676368629,false
2023-02-14T15:04:16Z,dmurat125,ios,2005,TR,195.142.71.191,unknown,Rich Flex,Drake,Her Loss,spotify:track:1bDbXMyjaUIooNwFE9wn0N,,,,appload,endplay,false,true,false,1676387051,false
2023-02-14T17:53:38Z,dmurat125,ios,166442,TR,176.54.54.219,unknown,Hayrola,Heja,Hayrola,spotify:track:1GPEOAgBH7e0k55NOEsVJv,,,,clickrow,logout,false,false,false,1676387056,false
2023-02-14T18:37:40Z,dmurat125,ios,30208,TR,195.142.71.191,unknown,TOTEM,Motive,TOTEM,spotify:track:4XVuzZAc7SCoM6R7L0WGLh,,,,clickrow,logout,false,false,false,1676399828,false
2023-02-15T10:53:50Z,dmurat125,ios,2602,TR,195.142.71.191,unknown,TOTEM,Motive,TOTEM,spotify:track:4XVuzZAc7SCoM6R7L0WGLh,,,,appload,endplay,false,true,false,1676458426,false
2023-02-15T11:35:05Z,dmurat125,ios,204757,TR,195.142.71.191,unknown,Hayrola,Heja,Hayrola,spotify:track:1GPEOAgBH7e0k55NOEsVJv,,,,clickrow,trackdone,false,false,false,1676458430,false
2023-02-15T13:31:04Z,dmurat125,ios,112353,TR,176.54.54.219,unknown,TOTEM,Motive,TOTEM,spotify:track:4XVuzZAc7SCoM6R7L0WGLh,,,,trackdone,endplay,false,true,false,1676460905,false
2023-02-15T18:33:31Z,dmurat125,ios,236228,TR,176.55.203.44,unknown,Hayrola,Heja,Hayrola,spotify:track:1GPEOAgBH7e0k55NOEsVJv,,,,clickrow,endplay,false,true,false,1676467865,false
2023-02-15T18:36:19Z,dmurat125,ios,168228,TR,176.55.203.44,unknown,Hayrola,Heja,Hayrola,spotify:track:1GPEOAgBH7e0k55NOEsVJv,,,,clickrow,fwdbtn,false,true,false,1676486011,false
2023-02-15T18:36:20Z,dmurat125,ios,1230,TR,176.55.203.44,unknown,TOTEM,Motive,TOTEM,spotify:track:4XVuzZAc7SCoM6R7L0WGLh,,,,fwdbtn,fwdbtn,false,true,false,1676486179,false
2023-02-15T18:36:21Z,dmurat125,ios,975,TR,176.55.203.44,unknown,Rich Flex,Drake,Her Loss,spotify:track:1bDbXMyjaUIooNwFE9wn0N,,,,fwdbtn,fwdbtn,false,true,false,1676486181,false
2023-02-15T18:36:23Z,dmurat125,ios,1416,TR,176.55.203.44,unknown,Farklı Yol,Farazi,Ölmek İçin Doğanlar,spotify:track:09l6KXWKqFJxOq9mKC4Sl4,,,,fwdbtn,fwdbtn,false,true,false,1676486182,false
2023-02-15T18:36:23Z,dmurat125,ios,905,TR,176.55.203.44,unknown,Major Distribution,Drake,Her Loss,spotify:track:46s57QULU02Voy0Kup6UEb,,,,fwdbtn,fwdbtn,false,true,false,1676486183,false
2023-02-15T18:42:06Z,dmurat125,ios,193724,TR,176.55.203.44,unknown,Broke Boys,Drake,Her Loss,spotify:track:45pUWUeEWGoSdH6UF162G8,,,,fwdbtn,fwdbtn,false,true,false,1676486184,false
2023-02-15T18:42:07Z,dmurat125,ios,998,TR,176.55.203.44,unknown,Mockingbird,Eminem,Encore,spotify:track:561jH07mF1jHuk7KlaeF0s,,,,fwdbtn,fwdbtn,false,true,false,1676486527,false
2023-02-15T20:25:42Z,dmurat125,ios,80039,TR,176.55.203.44,unknown,KHRBR,Ati242,KHRBR,spotify:track:5GKPjeEbJOiV28JLtCe5hN,,,,fwdbtn,fwdbtn,false,true,false,1676486528,false
2023-02-15T20:27:19Z,dmurat125,ios,97152,TR,176.55.203.44,unknown,Chicago Freestyle (feat. Giveon),Drake,Dark Lane Demo Tapes,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,,,,fwdbtn,endplay,false,true,false,1676492743,false
2023-02-15T20:32:02Z,dmurat125,ios,283682,TR,176.55.203.44,unknown,Zehirli Melodiler,Vio,Zehirli Melodiler,spotify:track:43ZHUK8AEUlBCHlbQyc4fJ,,,,clickrow,trackdone,false,false,false,1676492840,false
2023-02-15T20:32:38Z,dmurat125,ios,34255,TR,176.55.203.44,unknown,Nude,Aspova,Disosiyatif,spotify:track:19jWzFkYj7g5dKEKpdm2eM,,,,trackdone,endplay,false,true,false,1676493123,false
